title,markdown,tag1,tag2,tag3,tag4,count_answers
"Unmarshaling (JSON) in apache camel"," I am new in apache camel. And I wanna do some simple task using apache camel. I have json data available on this url http://localhost:8080/users/. There are json data from my rest service. But I wanna ... ",java,json,apache-camel,marshalling,2
".NET 8 Project Not Recognizing IFunctionsHostBuilder with Google.Cloud.Functions.Hosting"," I am working on a .NET 8 project where I need to use Google.Cloud.Functions.Hosting for a Google Cloud Functions project. I've set up my Startup.cs and appsettings.json properly, but I keep getting an ... ",c#,.net,dependency-injection,google-cloud-functions,0
"How can I get a ratio based on grouped column?"," table output I'm trying to do a select statement and get the ratio of adult and children over the total based on the other columns. ",sql,NaN,NaN,NaN,0
"Programatically refresh a table with Javascript that is connected through Ninja Tables to a google sheet"," I have a google sheet that updates every 5 minutes with new information. That google sheet is displayed through Ninja Tables onto a website. I'm trying to make a function in javascript that updates ... ",javascript,wordpress,NaN,NaN,0
"Get all parent id from child id in tree json data"," I need a list of array of object from tree data where i can pass id and it will return array of object. Can anyone please help me with this function where i can pass child id and it will return list ... ",javascript,arrays,json,tree,1
"SQL Grouping is returning a wrong value for a column"," I have 3 tables: TABLE1, TABLE2 and TABLE3. TABLE1 and TABLE2 have 1 row each, while TABLE3 has 3 rows. Both TABLE2 and TABLE3 have a foreign key to TABLE1. I am seeing that if I join all 3 of them ... ",sql,sql-server,NaN,NaN,0
"Sort output in bash based on character count not including spaces, but retain the spaces in output"," Given the following contents of file: a b c abcde ab cd ef abcdefg a a b I want to rearrange the output based on the number of non-space characters, but retain the spaces when the output is given. ... ",bash,awk,NaN,NaN,1
"dispatch and connect in redux not working"," I am a beginner to redux. I am trying to follow this tutorial to learn but it is a little outdated. I am having trouble with getting the code to work. I am building a social app following tutorial ... ",javascript,react-native,redux,expo,1
"Excel VBA; How to use Target.Offset from a range so only the cell offset from the last cell in the range is populated?"," I am using the following code to populate a cell with the current date and time when any cell in a range is modified. I want the cell in column O to populate with the date when I modify any cell from ... ",excel,vba,range,offset,2
"Selecting from SYSTEM VERSIONING with BETWEEN not working?"," Forgive me if I'm just misreading the results, but I'm not sure why I'm seeing the results I'm getting given the criteria for the system version (temporal table) query. select registration_date,... ",mariadb,NaN,NaN,NaN,1
"flask + asyncio app works on windows, but not on linux? ("Future <Future pending> attached to a different loop" error)"," I have a python script which creates a flask app, whose routes use asyncio (to communicate over bluetooth, using bleak). The script works fine on windows, but when run from a raspberry pi (with same ... ",python,flask,asynchronous,python-asyncio,1
"Pass a hardcoded object parameter to a template"," I have a template waiting for an object parameter : #template.yml parameters: - name: MyObject type: object And a pipeline calling this template with a hardcoded value: #pipeline.yml trigger: ... ",azure-devops,NaN,NaN,NaN,0
"Terraform RDS security group settings"," I have created a security group and an RDS instance according to the following: resource "aws_security_group" "database" { name = "DB Host" ingress { from_port =... ",amazon-web-services,terraform,amazon-rds,NaN,0
"SheetJS specify header order with json_to_sheet"," I am using SheetJS in angular to export json as .xlsx file. For reference the json could be as follows: [{ "ID": "E111", "Name": "John", "... ",javascript,json,excel,angularjs,2
"EIX Waterfall Plot"," I'm trying to create waterfall plots for my XGBoost model using EIX. Below is my code; the interactions version works perfectly but I can't get the variable version to work! The two pieces of code are ... ",r,xgboost,NaN,NaN,0
"WSL not compatible with windows version: "This version of %1 is not compatible with the version of Windows you're running.""," After some issues with running commands in my Ubuntu zsh terminal, I tried a fix and now it says my WSL isn't compatible with my version of Windows. So I've been trying to setup ubuntu on my Windows ... ",ubuntu,windows-subsystem-for-linux,NaN,NaN,0
""Invalid Qualifier" VBA IF THEN multiple criteria nested loop"," This may be beyond my skill set at the moment, but I'm attempting to create a nested loop referencing 2 active worksheets. It is grabbing 2 specific values from one sheet1 if sheet2 meets multiple ... ",excel,vba,if-statement,nested-loops,1
"How to include specific hidden file/folder in search result when using telescope.nvim?"," I'm using neovim and Telescope as a finder (find_files, live_grep, file_browser), by default Telescope is ignoring hidden files and files included in .gitignore - how can I add exception (e.g. .gitlab-... ",neovim,telescope.nvim,NaN,NaN,6
"Decode custom encoding algorithm"," I have the following custom encoding algorithm in Go (similar to Base64). Note that I didn't write the customEncode function, it has come from elsewhere so I can't modify it func shuffle(input rune) ... ",go,NaN,NaN,NaN,1
"Largest integer which will work in this flash application (scratch)"," https://scratch.mit.edu/projects/26664091/#fullscreen I was playing monopoly and I used the above flash application. Now I'm curious what will be the largest integer which will fit in the 'player 2 ... ",forms,flash,testing,input,3
"Unable to create a python socket listener inside a docker container"," I’ve created a docker image that runs a ROS1 rospy project. This project is run on a mobile robot that connects to the onboard computer running the image container. In order to communicate properly, ... ",python,docker,sockets,listener,0
"Misunderstanding Views in flutter"," Since yesterday, im new on flutter and im trying to create the user interface. The app will look something like this in terms of structure and process: For a better view, I have put together the ... ",flutter,flutter-animation,NaN,NaN,0
"Common chart X-axis in Power BI for datasets with no relationship"," A newbie question. I have two tables (CoreData and ExtendedData) in Power BI which have no relationship defined between them. Both have a SessionNumber column (int) which represents the nth meeting ... ",powerbi,dax,powerquery,powerbi-desktop,0
"Trying to make a logstash conf file for practice testing"," I am trying to make a logstash configuration file for class and I am unable to figure out what I have typed wrong in this I think I just have incorrect syntax somewhere but I cannot figure outwhere it ... ",logstash,NaN,NaN,NaN,0
"What do these yellow lines mean in this source code"," How do i remove these lines, those are quite unpleasant to look at. ",flutter,dart,NaN,NaN,2
"Python CSV reader: need ignore quoted comma as delimiter"," I need parse text file by comma, but not by quoted comma. It looks like trivial task, but can't make Python do it right. Mainly because of an unquoted string prepending the quoted string, which makes ... ",python,csv,regex-lookarounds,NaN,1
"Jest test passes correctly when test conditions are positive, but when conditions are negative, test hangs"," This all started when I was trying to make a custom matcher. However, I later found out it was happening with built-in Jest matchers. I have a test that subscribes to an observable and expects it to ... ",jestjs,matcher,asymmetric,NaN,0
"python code to parse a site table content"," Help with python code to parse html i have a site - https://www.rate.am/en/armenian-dram-exchange-rates/banks i need to store bank data with rates in dictionary with this format {bank1 name:[{update ... ",python,html,json,parsing,0
"Java - Incomprehensible characters instead of Cyrillic after being added to a CSV file"," package ru.nikita; import org.apache.commons.csv.CSVFormat; import org.apache.commons.csv.CSVPrinter; import java.io.FileWriter; import java.io.IOException; import java.nio.charset.Charset; import ... ",java,encoding,java-8,file-writing,0
"Having an issue with a teleporting function on Roblox"," The code is: local function Teleport(TeleportPos) for i, Players in pairs(game.Players:GetPlayers)) do Players.Character:FindFirstChild(“HumanoidRootPart”).CFrame = TeleportPosition end end ... ",scripting,server-side,roblox,roblox-studio,1
"Purge request body from Swagger Editor (OpenAPI 3) produced CURL"," Try out for my path in Swagger Editor (OpenAPI 3.0 yml loaded) produces the following CURL: curl -X 'POST' \ 'http://localhost:84/query?org=influx&pretty=true&db=influx&q=select%20%2A%... ",swagger-editor,openapi-3-0,NaN,NaN,0
"Python Scrapy Function that does always work"," The script below work 90% of the time to collect weather data. However, there are few cases where for some reason it just fails and the html code is consistant with the other request. There times ... ",python,scrapy,NaN,NaN,1
"PyQt5 silent crash with QDataStream"," I am programming a small script that listens to UDP packet and parse Data inside them. For that purpose, I used a QDataStream. But it crashes without # this happen in a loop data, address = sock.... ",python,pyqt5,qdatastream,qbuffer,0
"Extracting Names and Dates from .txt - can this be simplified?"," I have a .txt file with names and birthdays set out like this: Jane Doe 21 June 1988 Charlie Darwin 1 October 1987 Seymour Butts 1 April 1981 I need to separate it into two separate lists - one ... ",python,NaN,NaN,NaN,0
"How to switch between cmake versions?"," I have multiple project that has different CMake dependencies. Unfortunately due to the complexity of the project, not all CMake version's are 100% backward compatible. Similar to python's virtual ... ",cmake,NaN,NaN,NaN,0
"Stutter caused by call to currentRenderPassDescriptor blocking when MTKView is embedded in a SwiftUI app"," I am seeing an MTKView embedded in a SwiftUI app sometimes stuttering. I investigated this using Instruments: Almost all of the time, all is well, and the view renders smoothly at 60fps. Here, the row ... ",metal,mtkview,NaN,NaN,0
"Xcode show variable as optional when it's not"," I am having an issue with xcode where a variable shows as being optional when it's not. First I get the error in xcode that "Value of optional type 'Optional' must be unwrapped to refer to member ... ",xcode,swiftui,NaN,NaN,0
"Modifying a query string without reloading the page"," I am creating a photo gallery, and would like to be able to change the query string and title when the photos are browsed. The behavior I am looking for is often seen with some implementations of ... ",javascript,jquery,query-string,dhtml,10
"Is it possible to integrate folium map html as a background?"," so lately I've been watching this video for my homework https://youtu.be/Bv8FORu-ACA?si=HXF3MOBn7QLsy2V5 it is a chatbot html by coding Nepal. So, I am wondering if it is possible to change the ... ",python,html,chatbot,folium,0
"Should I bind my functions that don't affect state?"," I have no issue with my code, I am just asking this question for learning purposes since I am a week and a half into learning react. My question is that I bind my functions that affect/change my ... ",javascript,reactjs,NaN,NaN,1
"REFIT: Mix Post Workload Fields with Query String Params and Dynamic Header Items"," Imagine I have a refit endpoint like this: [Post("/api/v2/steps")] Task CreateStep(CreateStepContext request); I want to have one single context type that I can mix all the data items that ... ",c#,asp.net-web-api,refit,NaN,0
"How to print a string literally in Python"," this is probably really simple but I can't find it. I need to print what a string in Python contains. I'm collecting data from a serial port and I need to know if it is sending CR or CRLF + other ... ",python,ansi-escape,NaN,NaN,2
"How to stick <footer> element at the bottom of the page (HTML5 and CSS3)?"," When I use position relative with no content, footer goes up, with absolute with a lot of content, the footer goes down, and with fixed it is always there. Is there a easy way to get at the end of ... ",html,css,coding-style,styles,5
"How can I resolve the error in the code for the chrome-extension that overwrites google-meet's facial images in real time?"," The URL after https://meet.google.com/ is not set properly and refers to a js file. document.body.insertBefore(script, document.body.firstChild) in the loader.js is giving me an error, can't I use it ... ",javascript,shell,google-chrome-extension,chrome-extension-manifest-v3,0
"HAPI FHIR - Docker MDM json rules file [closed]"," I'm using HAPI FHIR Server and want enabled Master Data Management (MDM) using Docker, for this I need through docker volumes, keep out of container the mdm-rules.json file. I want something like this:... ",docker,hl7-fhir,hl7,hapi,1
"VSCode - TypeScript template "cannot find name <element>"," I did a fresh install of VSCode and Node. I then run npx create-react-app my-app-test --template typescript. Older projects that have worked in the past (2 weeks ago) also have this error which was ... ",reactjs,node.js,typescript,visual-studio-code,0
"Building a School Schedule Generator"," I want to build an automatic school scheduler, but first of all, let me explain to you the details of the school. The school has a specific number of working days (6 for example) and has many grades ... ",javascript,algorithm,scheduling,schedule,1
"Can Hotspot eliminate bounds checks when the range of the index is restricted via and?"," Consider the following function: int foo(int[] indices) { int[] lookup = new int[256]; fill(lookup); // populate values, not shown int sum = 0; for (int i : indices) { sum += lookup[i &... ",java,performance,optimization,jvm-hotspot,1
"why does semantic-ui-react have circular dependencies, and how do you resolve that when using webpack?"," I'm using semantic-ui-react in a create-react-app based React app. I ran into an issue where simply using components like <CardGroup> or <StepGroup> throws a generic, and unfortunately ... ",javascript,reactjs,semantic-ui,semantic-ui-react,1
"GitHub webhook payload $.pull_request.number vs $.pull_request.id difference"," Having a look at GitHub webhook payload objects for pull_request in "Action type: opened" in the following Webhook events & payloads document, I found there're two properties looks ... ",github,webhooks,github-webhook,NaN,0
"How do I skip the first and last SQL result?"," I'm using https://sqlime.org/#demo.db so let's assume sqlite3 syntax. Though I'd be happy to hear about answers in other flavors of SQL. I'm running the following query: SELECT * FROM employees ORDER ... ",sql,sqlite,NaN,NaN,0
"how to call a session username into a keyword variable"," With $dir we have a path to the directory, where images are identified by name, example "name.jpg" we have a variable entitled $keyword where normally we could say name.jpg and this would ... ",php,NaN,NaN,NaN,0
"Why is the runtime for this O(n)?"," so in class we went over this bit of Java, and we were told to find the runtime. for(int i=0; i<N; i=i+2){ for(int j=N; j<N; j++){ for(int k=0; k<N; k++){ ... ",data-structures,big-o,NaN,NaN,2
"Get defined version espressif library"," Trying to get lower version of espressif8266 library for my Platformio Espressif project by defining version number: platform = [email protected] Got error: Resolving d1 dependencies... Platform ... ",esp8266,arduino-esp8266,platformio,NaN,0
"Google.Cloud.Retail.V2.ProductServiceClient, SetInventoryAsync throws invalid operation exception"," I am following this Google's tutorial and it is failing in the operation.PollUntilCompleted() operation. The exception that I receive is 'operation.Result' threw an exception of type 'System.... ",c#,asp.net,NaN,NaN,0
"Chatbot that sends mass messages asking for confirmation"," I'm developing a chatbot for a medical clinic. I need to create an application that, when executed, opens an interface where it must be inserted *Patient's name *Phone number *Type of exam This ... ",python,chatbot,whatsapp,NaN,0
"How to Reduce Azure Durable Function verbose and information logging"," In an Azure Durable Functions .NET project there are certain verbose and information logs in the log stream that I'd like to exclude or reduce. I have adjusted the log level in the host.json file, but ... ",.net,.net-core,azure-functions,azure-application-insights,2
"Discrepancy between the height shown for a DOM element and its actual screen size"," I don't know if that is only appears in VS Code, but that's the only place I see this effect (and I'm trying to design a web page with the same metrics): The height of a file tree row is actually ... ",visual-studio-code,dom,google-chrome-devtools,NaN,0
"How to apply conditional filtering based on group size?"," I would like conditional filtering, based on the group size. Suppose I have a dataframe, which looks like: data1 <- data.frame( ID = c(1, 1, 1, 3, 3, 5, 6), town = c("Town A", "... ",r,dplyr,filter,conditional-statements,1
"MySQL: 'Order by' clause not doing anything? [duplicate]"," I have the following sql code written: SELECT Country, ROUND(SUM(Consumption), 2) AS 'Total Consumption' FROM alcohol GROUP BY Country ORDER BY 'Total Consumption' DESC; When I run this code, the ... ",sql,mysql,sql-order-by,NaN,1
"How do you format code in Visual Studio Code (VSCode)?"," What is the equivalent of Ctrl + K + F and Ctrl + K + D on Windows in Visual Studio for formatting, or "beautifying" code in the Visual Studio Code editor? ",code-formatting,visual-studio-code,NaN,NaN,29
"React Native Expo Audio | Send the audio in real time while recording it"," I am trying to create a bird recognition application, so when I activate the recognition function, from the UI, I wish to be able to send it to the server in real-time for it to recognize the bird by ... ",react-native,expo,audio-streaming,expo-av,1
"How to pass JavaScript variables to PHP using AJAX"," Here is a portion of my code: function minicart(courseId = "") { $.ajax({ type: "GET", datatype: "json", url: "/cart/basket", ... ",javascript,php,jquery,ajax,0
"I need help Python Tkinter and OpenpyXL"," I was developing an application in python but I'm a beginner and I ended up finding a problem in the issue of deleting a [line] row in Excel def delit(): try: ... ",python,tkinter,openpyxl,NaN,0
"In what order does beforeEach and beforeAll execute?"," I'm using Jest-Puppeteer to end2end test a Rails application. Before these tests I want to run some seeds and to work DRY I tell the server to go to a certain URL before each test. // imports ... ",testing,jestjs,NaN,NaN,1
"The event listener added by window.matchMedia("(prefers-color-scheme: dark)") is not triggered in Safari on iOS 17 when the app is installed as a PWA"," Is it just me, or is there a bug in Safari on iOS 17 where the event listener added by window.matchMedia("(prefers-color-scheme: dark)") is not triggered? There was no such issue in Safari ... ",safari,progressive-web-apps,NaN,NaN,1
"conditional replace of a string in python"," I want to perform conditional replace of string. if my string = "abaabaaabaaaabaaabaaaaaabaababaaabaaaabaaaaaabaaaaabaaabaabaababaaabaaaabaaaabaabaaab" and I want to replace a with 2 ... ",python,regex,string,if-statement,1
"How to populate SQL query results in Excel with a column as input parameter"," I have a table in a SQL server as: id db_value A 1 B 2 C 3 D 4 E 2 F 3 Now I have a spreadsheet looks like: id db_value other_value B C F Now I want to populate the column db_value from the ... ",sql,excel,database,tabulate,0
"Sliding text animation in CSS"," I would like to create something similar to this: https://codepen.io/marklc44/pen/RKPdEV. But having 6 elements, and the animation should be played 3 times, then stopped at the last element, only ... ",html,css,css-animations,NaN,0
"Want to dynamically handle display of page numbers with respect to Pagination : ReactJS"," I have some pagination logic working just fine, only issue is I can only get it to show and fixed number of pages to choose from. Right now I have put it to 5 pages, but I would like it to change ... ",javascript,reactjs,typescript,ecmascript-6,2
""Don't show this again" option in message boxes"," In C++/MFC, what's the simplest way to show a message box with a "Don't show this again" option? In my case, I just want a simple MB_OK message box (one OK button). ",c++,mfc,messagebox,NaN,5
"Windows environment variables at appsettings.json"," I'm trying to set AccessKeys in appsettings.Development.json to point to my OneDrive folder. Since some team members have their OneDrive at different folders, I was trying to use Windows environment ... ",asp.net-core,environment-variables,appsettings,NaN,2
"How to use rector to upgrade my php code automatically"," I have a website, and I had many troubles with it in the past, regarding php. When I got my domain registrar to solve my problems, I moved to another registrar, and in the meantime between the ... ",php,http-error,rector,NaN,1
"how to fix Es-lint "no-return-assign" for the following line of code"," This code runs correctly (converting an array of objects into an object of objects) ES-lint however gives this error:  [eslint] Arrow function should not return assignment. (no-return-assign) ... ",javascript,eslint,arrow-functions,NaN,2
"How do I safely close my cadence client when my program exits?"," I have multiple things I am using in my cadence client com.uber.cadence.worker.Worker.Factory com.uber.cadence.worker.Worker com.uber.cadence.client.WorkflowClient com.uber.cadence.serviceclient.... ",cadence-workflow,uber-cadence,NaN,NaN,1
"How to draw a spiral with bezierCurveTo in html canvas?"," I want to draw a spiral, a circle where the radius steadily increases with the angle. When searching for similar questions, the circle/spiral is always approximated by drawing a lot of lines with the ... ",javascript,html,html5-canvas,spiral,2
"convert to 'n' significant digits [closed]"," I'm working with resistances which (to convert to color codes) cannot have more than 3 significant digits, regardless of if they are before or after the decimal point. My input value is (currently) a ... ",c#,NaN,NaN,NaN,0
"Dns.GetHostEntry throws 'No such host is known' when executed in a Kubernetes pod"," I'm porting a Windows application to Azure Kubernetes and I'm experiencing an issue with this call: Dns.GetHostEntry(Environment.MachineName); practically, when executed in a pod, it throws a ... ",kubernetes,dns,azure-aks,coredns,0
"pyo3_runtime.PanicException: python function failed: PyErr{type:<class 'TypeError'>,value: TypeError("'list' object is not callable"),traceback: None}"," I want to read csv. Try: ldf = ( pl.scan_csv(fn, has_header=True, with_column_names=ALL_PNL_COLUMNS, try_parse_dates=True, dtypes={"market_id": pl.String, "runner_id": pl.... ",python,python-polars,NaN,NaN,1
"Panda - Insert a column at a certain character index"," I have a df like the one below: Account_num First_Name Last_Name Zipcode Amount AAA111 AAA BBB 12345 784.23 AAA112 AAB BBA 44546 2145.32 AAA113 ... ",python,pandas,dataframe,numpy,0
"Multiple event listener on the same object not working [duplicate]"," Is it possible to have two listener listening to the same event? I have an event listener listening for the oncanplay video event, and in some other class, in this example the test class, I have to ... ",javascript,dom-events,event-listener,NaN,2
"Apex Link Builder target (equals vs contains)"," I have a link from a chart to an Interactive grid that applies a basic filter and I would like to apply a contains vs equals operator. ",oracle,oracle-apex,NaN,NaN,0
"Add days to an Excel date?"," In one cell I have the string "2023-Jan-02" formatted as a General. I want to simply add 7 days to these dates (so it goes to 2023-Jan-09), but I can't get the TEXT or DATE functions or cell ... ",excel,date,excel-dates,NaN,4
"How to fix error on deployment with Glassfish 3"," I'm developing a JavaEE application on Glasfish Application Server. I'm developing so I'm continously deployig/undeploying the application. Everything worked great until a few hours ago when I got ... ",jakarta-ee,deployment,glassfish,NaN,0
"error while install dlib on cmd, could not build wheels for dlib"," im getting this error while trying o install dlib on cmd i already install cmake version 3.26.1 visual studio n python version is 3.10 pip install dlib and the results Collecting dlib Using cached ... ",python,visual-studio-code,cmake,pip,8
"Is there any AND condition in MIPS that can check two conditions at the same time?"," I made a code in MIPS where a student enters assesment grade,midterm grade , final exam grade. When i run the program it asks the user for input of the 3 grades and then my program is supposed to ... ",assembly,mips,NaN,NaN,0
"How do I get over a Firebase rules problem I'm having when I think my user configurations should allow read/write"," I am logged into my app using GoogleAuthProvider and into my browser as [email protected] My app project rules looks like this On a view I have a toggle that triggers a setDoc When I use that ... ",firebase,vue.js,google-cloud-firestore,NaN,1
"Retina-Sized Images Trigger Lighthouse "Properly size images" Warning"," My image dimensions are 264x270 when viewed on a "Moto G Power" viewport, which is what Lighthouse is currently using for its mobile audit. I have a <picture> element set to deliver a ... ",html,image,pagespeed,lighthouse,0
"inferred to be a `FnMut` closure"," I'm trying to iterate over a vector and add several asynchronous tasks to a Tokyo schedule, but it's throwing the error inferred to be a FnMut closure I have tried cloning the data variable, saving it ... ",rust,async-await,closures,rust-futures,1
"rust how to use global static variable in dptree::deps"," I used original teloxide example with some changes use std::sync::Arc; use once_cell::sync::Lazy; use teloxide::{dispatching::dialogue::InMemStorage, prelude::*}; type MyDialogue = Dialogue<State, ... ",rust,static,teloxide,NaN,0
"Remix V2 useLoaderData issue while running in dev mode"," In a basic Remix V2 app, i need help understanding if the following is expected behavior, a bug in V2, or possibly a missing configuration option or setting. When running in development mode via npx ... ",javascript,reactjs,json,remix.run,2
"Add AdvancedWebView to an AndroidStudio project"," here again am i... have solved the other problem for use WebView with inapp page view but cause now i want to upload some files from the Webview read that have to use AdvancedWebView but online i ... ",kotlin,gradle,implementation,NaN,0
"Why is my discord bot sending me this error ? : TypeError: client.embed is not a function"," When I start my discord bot and try to execute a specific command, the console returns this error: TypeError: client.embed is not a function. here's the entire error with the code : error: TypeError: ... ",node.js,discord.js,NaN,NaN,0
"A markdown editor with autocompletion of Pandoc style citation keys? [closed]"," I want to be able to write academic articles in markdown in a simple editor (like Typora), and in my writing flow write "@" to connect to Zotero using Pandoc citation keys. I imagine a ... ",markdown,pandoc,citations,NaN,1
"The document.getElementById(elem) function does not work when called from JavaFx webEngine"," My program loads a web page and tries to scroll to an element with given ID. This is the scollInd(ID) Javascript function as defined and called by WebEngine: engine.executeScript(" function ... ",javascript,javafx,NaN,NaN,0
"Trying to locate and click a button element, but Selenium Webdriver raises NoSuchElementException"," Been trying out every selector and attribute I can possibly think of, so as to target and click a sign-up button on a website's homepage... all to no avail. See the website: https://onepetro.org Once ... ",javascript,python,html,css,1
"Azure Static Web App: Use existing HTML file as default page"," I'm new to Azure, so please bear with me. In Azure, I created a Static Web App that auto-generated a landing page. I've added a screenshot below of my new static page. I simply want to replace that ... ",azure,azure-static-web-app,NaN,NaN,0
"How to write setup.py to include a Git repository as a dependency"," I am trying to write setup.py for my package. My package needs to specify a dependency on another Git repository. This is what I have so far: from setuptools import setup, find_packages setup( ... ",python,django,git,packaging,7
"JAVA Spring calling a Stored Procedure expects 3 parameters when there should only be 2"," my repository is as following: @Repository public interface StatisticsRepository extends JpaRepository<CampaignStatisticModel, Integer> { @Procedure(value = "getCampaignStatistics&... ",java,spring-boot,java-stored-procedures,mariadb-10.5,0
"How do I send a POST Request to Google Translate Api using a C# WebClient?"," I googled now for almost an hour and can't find anything that would help me out. I'm a beginner programer and took the course over from TeamTreeHouse with Serialization in C#. Here I also learned how ... ",c#,webclient,google-translate,NaN,3
"I can't get user recognized using Docker secrets with Docker Compose and Postgres"," I'm running the command: docker exec -it db psql --user $(< postgres_user.txt) and I'm getting the error: /var/run/postgresql/.s.PGSQL.5432" failed: FATAL: database "my_postgres_user&... ",postgresql,docker,docker-compose,docker-secrets,0
"How to apply plugin to allprojects with new Gradle plugins mechanism?"," Before Gradle 2.1 I could apply plugin to all projects by using allProjects closure (by prevoisly resolving the jar, of course): buildscript { repositories { jcenter() } dependencies { ... ",gradle,NaN,NaN,NaN,1
"convert VBA to office script"," i want to know how to convert this macro to be used with office script, Sub append_to_next_sheet() Sheets("Sheet1").Range("A1:G50").Copy With Sheets("Sheet2").... ",typescript,office-scripts,NaN,NaN,0
"Converting SSAS connection to NativeQuery with SQL expression in PowerBI"," I am attempting to convert a SSAS connection in PBI into a NativeQuery wrapper so that I can set an SQL statement to refine the connection data volume. I am getting syntax errors no matter what I try,... ",sql,powerbi,ssas,NaN,1
"flutterfire configure does not work after correct installation"," I have tried to implement firebase for authentication purposes in my flutter project. I have followed the docs and installed the CLI, added the PATH environment variable, logged via 'firebase login'. ... ",flutter,firebase,dart,firebase-authentication,0
"How to change the font size and icon space of shinyFeedback::feedbackWarning?"," Is there a way to change the font size of the warning message as well as the whitespace that is blocked for an icon inside the input prompt of textInput in shinyFeedback? In my shiny app, I have ... ",css,r,shiny,NaN,2
"I can't get pass the welcome page in android studio"," It just say missing sdk and i downloaded it but it just not accepting it for a reason and when i follow tutorials they would have other options and i only have one like this image: I tried the java ... ",kotlin,android-studio,android-sdk-manager,NaN,0
"How to pass cookies from client to server on a different domain using nuxt3?"," I feel like this is a very common use case, but I am really struggling. I deploy my nuxt app using cloud run, which is on https://deployed.com, however I have my own domain, so I instead access it via ... ",node.js,cookies,cors,nuxt.js,0
"How to call/handle different event handlers for same event on same element? JavaScript [duplicate]"," I'm curious here, I know that it's possible to attach multiple event handlers to same element if I use DOM Level 2 method called addEventListener(), so I'm wondering if we have this situation: ... ",javascript,html,dom,NaN,2
"Attach a debugger to a flask process started by tasks.json in vscode"," I have the following tasks.json in my workspace: { "version": "2.0.0", "tasks": [ { "label": "Run Locally", &... ",python,visual-studio-code,flask,vscode-debugger,0
"Acrobat 2020 editing the Header or Footer in a PDF Document [closed]"," I use Acrobat 2020 (pro) to edit a large document. When I insert a "Header" I can use the tool to edit "headers and footers" like in a Word Document. https://www.adobe.com/au/... ",javascript,excel,vba,adobe,0
"Image Upload Issue with Theme Rain Core Plugin in WordPress"," I'm encountering an issue with image uploads on my WordPress website while using the Theme Rain Core plugin. I've identified the section of code where modifications can be made, and I've attempted to ... ",wordpress,custom-wordpress-pages,wordpress-gutenberg,NaN,0
